Time,Open,High,Low,Close,Volume
2021-08-16 13:00,1.38648,1.38723,1.38279,1.38318,5452
2021-08-16 14:00,1.38313,1.38607,1.38277,1.38582,6306
2021-08-16 15:00,1.38581,1.38604,1.38446,1.38472,4248
2021-08-16 16:00,1.38475,1.38526,1.38444,1.38454,1835
2021-08-16 17:00,1.38455,1.38455,1.38399,1.38437,1201
2021-08-16 18:00,1.38437,1.38438,1.38358,1.38370,876
2021-08-16 19:00,1.38370,1.38428,1.38363,1.38387,1067
2021-08-16 20:00,1.38388,1.38441,1.38356,1.38396,1432
2021-08-16 21:00,1.38396,1.38429,1.38378,1.38402,463
2021-08-16 22:00,1.38406,1.38449,1.38406,1.38415,516
2021-08-16 23:00,1.38415,1.38433,1.38387,1.38403,480
2021-08-17 00:00,1.38404,1.38406,1.38333,1.38348,855
2021-08-17 01:00,1.38351,1.38366,1.38230,1.38287,1272
2021-08-17 02:00,1.38286,1.38305,1.38204,1.38235,1117
2021-08-17 03:00,1.38234,1.38245,1.38144,1.38153,1126
2021-08-17 04:00,1.38150,1.38204,1.38142,1.38189,839
2021-08-17 05:00,1.38188,1.38299,1.38166,1.38239,1296
2021-08-17 06:00,1.38238,1.38276,1.37987,1.37993,3890
2021-08-17 07:00,1.37994,1.38139,1.37861,1.37994,3816
2021-08-17 08:00,1.37993,1.38132,1.37976,1.38093,2667
2021-08-17 09:00,1.38090,1.38116,1.37997,1.38009,2326
2021-08-17 10:00,1.38004,1.38033,1.37850,1.37927,3077
2021-08-17 11:00,1.37926,1.37971,1.37857,1.37885,2365
2021-08-17 12:00,1.37885,1.37953,1.37667,1.37735,5106
2021-08-17 13:00,1.37738,1.37758,1.37523,1.37558,4227
2021-08-17 14:00,1.37557,1.37589,1.37351,1.37380,3214
2021-08-17 15:00,1.37381,1.37481,1.37335,1.37377,3621
2021-08-17 16:00,1.37377,1.37456,1.37260,1.37264,1717
2021-08-17 17:00,1.37265,1.37381,1.37265,1.37360,1192
2021-08-17 18:00,1.37357,1.37408,1.37318,1.37358,1057
